#ID;wigosIdentifier;Kennung;Stationsname;Geraetetyp;Messnetz;von_Datum;Geog_Breite;Geog_Laenge;Stationshoehe;pressureLevel;pressureRefLevel;barometerLevel;barometerHeight;airtemp200Height;airtemp005Height;humidityHeight;watertempHeight;rainHeight;visibilityHeight;snowHeight;windHeight;sunHeight;radiationHeight;hasPyrano;cloudHeight
1228;0-20000-0-10004;10004;UFS TW Ems;AWst Typ V (MILOS 500);15,526;24.08.1945;54.165071;6.346049;0.0;0;;0;0;8;0.05;8;1.5;1;8;;15;;;0;
954;0-20000-0-10007;10007;UFS Deutsche Bucht;AWst Typ V (MILOS 500);15;24.08.1945;54.179583;7.458717;0.0;0;;0;0;;0.05;8;0.5;;8;;15;;;0;
2115;0-20000-0-10015;10015;Helgoland;AMDA II;15,16,320,526;12.06.1873;54.174971;7.891995;4.36;3.35;;3.35;;2;0.05;2;;1;2.5;2.3;10;;6;0;1.55
3032;0-20000-0-10020;10020;List auf Sylt;AMDA II;15,16,320,526;01.09.1891;55.010989;8.412531;24.7;27.19;;27.19;2.49;2;0.05;2;;1;2.5;2;10;;2;0;1.55
2907;0-20000-0-10022;10022;Leck;AMDA II;15,320;01.01.1940;54.790294;8.951446;6.69;7.8;;7.8;1.11;2;0.05;2;;1;2.5;2;10;;;0;1.55
4393;0-20000-0-10028;10028;Sankt Peter-Ording;AMDA II;15,16,320;01.01.1936;54.327907;8.603056;4.88;11.19;;11.19;6.31;2;0.05;2;;1;2.5;2;10;;4;657;1.55
1379;0-276-3-1379;10031;Flensburg (Schäferhaus);MODES III W;15,16,320;01.09.1865;54.773679;9.375294;40.5;40.5;;;;;0.05;;;;;;10;;;0;
1666;0-20000-0-10033;10033;Glücksburg-Meierwik;MEA Fachsystem;15;29.01.1963;54.827332;9.505784;11.72;33.81;;;;;0.05;;;;;;;;;0;
4466;0-20000-0-10035;10035;Schleswig;AMDA II;15,320,526;01.10.1946;54.527539;9.548666;42.7;48.07;;48.07;5.37;2;0.05;2;;1;2.5;2.3;15;;16.6;657;1.55
2437;0-20000-0-10037;10037;Schleswig-Jagel;MEA Fachsystem;15;01.12.1958;54.456985;9.520317;21.3;25.99;;25.99;4.69;2;0.05;2;;1;2.5;;;;;0;1.55
2303;0-20000-0-10038;10038;Hohn;MEA Fachsystem;15;06.04.1959;54.316169;9.538516;10.0;17.84;;17.84;7.84;2;0.05;;;1;2.15;;10;;;0;
5930;0-20000-0-10042;10042;Schönhagen (Ostseebad);AMDA II;15,320;01.07.1973;54.640986;10.02377;0.79;1.83;;1.83;1.04;2;0.05;2;;1;2.5;2;12;;;0;1.55
2961;0-20000-0-10044;10044;Leuchtturm Kiel;MODES M;15,320;10.09.1970;54.499614;10.273687;0.0;26;;26;26;30;0.05;30;;;;;34;31;;0;
2564;0-20000-0-10046;10046;Kiel-Holtenau;AMDA II;15,16,320;01.02.1927;54.377582;10.142375;28.41;29.56;;29.59;1.18;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
5516;0-20000-0-10055;10055;Fehmarn;AMDA II;15,16,320,526;01.01.1941;54.528292;11.060556;3.21;2.93;;2.93;;2;0.05;2;;1;2.5;2;9.1;;;0;1.55
3170;0-20000-0-10067;10067;Marienleuchte;MEA Fachsystem;15,16;01.01.1891;54.493692;11.241076;8.6;10.8;;10.8;2.2;2;0.05;;;;;;;;;0;
183;0-20000-0-10091;10091;Arkona;AMDA II;15,16,320,526;01.06.1878;54.679109;13.434416;42.0;41.7;;41.7;;2;0.05;2;;1;2.5;2.3;24;;8.9;657;1.55
4024;0-20000-0-10093;10093;Putbus;AMDA II;15,16,320;01.01.1851;54.364277;13.477079;39.8;40.69;;40.69;0.89;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
1759;0-20000-0-10097;10097;Greifswalder Oie;AMDA II;15,16,320;01.03.1934;54.24367;13.91044;11.09;11.64;;11.64;0.55;2;0.05;2;0.5;1;2.5;2.3;12;;;0;1.55
3631;0-20000-0-10113;10113;Norderney;AMDA II;15,16,320,526;01.03.1858;53.712304;7.151923;11.47;12.76;;12.76;1.29;2;0.05;2;;1;2.5;2;11.8;;8.8;657;1.55
102;0-20000-0-10124;10124;Leuchtturm Alte Weser;MODES M;15,320;04.06.1970;53.86333;8.1275;0.0;31;;31;31;31;0.05;;2;;;;42.6;;;0;
5640;0-20000-0-10126;10126;Wittmundhafen;MEA Fachsystem;15;20.11.1961;53.544444;7.6625;6.89;13.68;;;;2;0.05;2;;1;2.5;;;;6;0;1.55
701;0-20000-0-10129;10129;Bremerhaven;AMDA II;15,320;01.01.1913;53.53321;8.576089;6.45;5.49;;5.49;;2;0.05;2;;1;2.5;2;10;;7;0;1.55
1200;0-20000-0-10130;10130;Elpersbüttel;AMDA II;15,320;01.11.1986;54.069146;9.010547;2.99;4.19;;4.19;1.2;2;0.05;2;;1;2.5;2;10;;;0;1.55
